genres,imdb_score,movie_or_tv,rated,resp_stat,resp_url,rg_score,seasons,title,website,year_end,year_start
"action-and-adventure,family,fantasy",6.1,movie,7+ (PG),200,https://reelgood.com/movie/inkheart-2008,63,,Inkheart,HBO Max,,2008
"biography,drama,crime,sport",6.5,movie,18+ (R),200,https://reelgood.com/movie/paterno-2018,63,,Paterno,HBO Max,,2018
"drama,action-and-adventure,romance",7.6,show,18+ (TV-MA),200,https://reelgood.com/show/parades-end-2012,63,1,Parade's End,HBO Max,2012,2012
"documentary,family,musical",5.4,movie,7+ (PG),200,https://reelgood.com/movie/glee-the-concert-movie-2011,63,,Glee: The Concert Movie,HBO Max,,2011
"comedy,romance",5.5,movie,18+ (R),200,https://reelgood.com/movie/they-came-together-2014,63,,They Came Together,HBO Max,,2014
"comedy,romance",6.1,movie,18+ (R),200,https://reelgood.com/movie/whats-your-number-2011,63,,What's Your Number?,HBO Max,,2011
"action-and-adventure,anime,animation,mystery,comedy,crime,fantasy,thriller,drama",7.6,show,18+ (TV-MA),200,https://reelgood.com/show/bungo-stray-dogs-2016,63,3,Bungo Stray Dogs,HBO Max,2019,2016
"drama,history",6.6,show,18+ (TV-MA),200,https://reelgood.com/show/gunpowder-2017,63,1,Gunpowder,HBO Max,2017,2017
"thriller,action-and-adventure,crime,drama,mystery",6.4,movie,18+ (R),200,https://reelgood.com/movie/blood-work-2002,63,,Blood Work,HBO Max,,2002
"comedy,romance,documentary,history",5.8,movie,18+ (R),200,https://reelgood.com/movie/hall-pass-2011,63,,Hall Pass,HBO Max,,2011
comedy,8,show,14+ (TV-14),200,https://reelgood.com/show/tacoma-fd-2019,63,2,Tacoma FD,HBO Max,2020,2019
comedy,7.4,show,18+ (TV-MA),200,https://reelgood.com/show/family-tree-2013,63,1,Family Tree,HBO Max,2013,2013
"comedy,animation",7.2,show,14+ (TV-14),200,https://reelgood.com/show/madtv-1995,63,15,MADtv,HBO Max,2016,1995
"action-and-adventure,comedy,drama,family",5.6,movie,7+ (PG),200,https://reelgood.com/movie/the-pacifier-2005,63,,The Pacifier,HBO Max,,2005
"action-and-adventure,science-fiction,thriller,mystery",5.8,movie,18+ (R),200,https://reelgood.com/movie/gamer-2009,64,,Gamer,HBO Max,,2009
"drama,fantasy,horror,science-fiction,mystery",7.8,show,18+ (TV-MA),200,https://reelgood.com/show/the-fades-2011,64,1,The Fades,HBO Max,2011,2011
"comedy,romance",5.6,movie,13+ (PG-13),200,https://reelgood.com/movie/failure-to-launch-2006,64,,Failure to Launch,HBO Max,,2006
